n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
145,195,645,629,590,562
146,197,651,635,592,567
147,198,655,641,598,572
148,200,659,644,604,576
149,202,666,652,609,582
150,203,671,654,612,587
151,205,675,660,623,590
152,207,681,664,622,594
153,209,684,668,628,600
154,211,689,672,632,604
155,212,694,677,636,609
156,214,698,683,641,614
157,216,703,686,648,617
158,217,710,691,651,621
159,219,712,696,657,627
160,221,715,699,661,629
161,223,722,704,665,635
162,224,726,708,670,640
163,226,730,714,679,645
164,227,733,720,687,650
165,229,739,724,685,655
166,231,743,726,693,660
167,232,748,732,694,664
168,234,752,736,703,669
169,235,756,740,715,673
170,237,759,744,721,678
171,238,764,747,721,684
172,240,769,754,734,687
173,241,773,757,726,691
174,242,776,764,736,696
175,244,782,766,735,700
176,245,786,770,745,704
177,247,791,773,751,710
178,248,796,775,758,714
179,249,800,780,758,718
180,250,806,784,768,723
181,252,809,787,768,727
182,253,815,792,775,732
183,255,820,796,775,736
184,256,823,801,779,740
185,258,828,805,781,745
186,259,833,809,817,749
187,260,837,814,791,754
188,262,839,820,801,758
189,264,846,823,803,761
190,265,848,827,804,765
191,266,854,830,807,769
192,268,859,835,816,774
193,269,867,842,821,780
194,271,873,849,832,784
195,272,877,855,830,790
196,274,886,860,845,794
197,275,892,865,849,800
198,277,896,872,849,804
199,278,902,878,852,810
200,280,908,884,858,815
201,281,914,888,875,820
202,283,920,894,868,825
203,284,923,901,875,830
204,286,928,905,876,834
205,287,936,911,884,839
206,289,939,917,888,843
207,290,946,925,903,847
208,292,950,928,895,851
209,293,956,932,903,856
210,295,961,936,905,862
211,296,966,943,921,867
212,298,969,947,918,870
213,300,976,953,922,876
214,301,982,957,926,880
215,303,986,961,936,884
216,304,992,965,935,888
217,306,994,970,940,894
218,308,999,975,943,897
219,309,1003,980,949,902
220,311,1010,984,957,907
221,312,1014,988,975,910
222,314,1019,995,963,914
223,315,1023,1000,982,918
224,317,1027,1001,974,923
225,319,1031,1006,977,928
226,320,1037,1012,978,933
227,322,1041,1017,989,937
228,323,1045,1025,1007,942
229,324,1050,1025,997,946
230,326,1055,1030,1006,951
231,328,1059,1036,1004,955
232,330,1063,1039,1011,960
233,331,1067,1043,1034,964
234,332,1074,1048,1019,969
235,334,1075,1052,1028,972
236,336,1080,1057,1027,977
237,337,1084,1062,1065,981
238,338,1088,1068,1054,985
239,340,1096,1071,1043,990
240,342,1097,1076,1055,995
241,344,1103,1078,1049,999
242,345,1108,1083,1055,1004
243,347,1113,1084,1061,1008
244,349,1119,1087,1065,1012
245,351,1123,1094,1074,1016
246,352,1128,1097,1079,1021
247,354,1134,1104,1081,1025
248,356,1138,1107,1091,1030
249,357,1141,1110,1088,1034
250,359,1146,1118,1094,1039
251,361,1149,1121,1097,1043
252,362,1155,1125,1118,1046
253,364,1162,1128,1112,1051
254,366,1164,1132,1120,1056
255,369,1169,1138,1114,1060
256,376,1172,1146,1116,1064
257,372,1317,1150,1175,1070
258,373,1325,1154,1182,1075
259,374,1332,1161,1192,1083
260,376,1340,1167,1198,1087
261,378,1347,1174,1194,1092
262,380,1356,1181,1200,1098
263,381,1363,1185,1207,1104
264,383,1369,1192,1213,1109
265,385,1376,1198,1233,1115
266,387,1383,1205,1239,1122
267,388,1390,1208,1238,1128
268,390,1396,1215,1249,1132
269,392,1405,1222,1261,1138
270,394,1412,1227,1262,1143
271,395,1418,1229,1267,1148
272,398,1424,1238,1276,1155
273,400,1432,1246,1277,1161
274,402,1440,1251,1290,1167
275,403,1447,1258,1289,1172
276,405,1455,1262,1300,1178
277,407,1461,1268,1304,1184
278,410,1468,1273,1315,1189
279,411,1476,1276,1320,1195
280,413,1484,1281,1328,1199
281,414,1489,1286,1338,1205
282,416,1495,1291,1338,1212
283,418,1503,1296,1345,1215
284,421,1507,1301,1350,1220
285,422,1514,1306,1356,1224
286,423,1521,1311,1362,1230
287,426,1526,1315,1368,1236
288,427,1532,1320,1372,1240
289,429,1541,1323,1379,1245
290,431,1551,1332,1387,1252
291,434,1557,1334,1391,1259
292,435,1562,1339,1400,1264
293,437,1573,1343,1408,1269
294,439,1587,1348,1411,1269
295,441,1583,1353,1419,1273
296,443,1590,1357,1419,1285
297,445,1598,1362,1434,1294
298,448,1603,1366,1434,1298
299,449,1610,1371,1447,1293
300,451,1614,1377,1461,1300
301,452,1622,1381,1455,1304
302,454,1629,1385,1462,1310
303,456,1631,1389,1470,1314
304,458,1639,1395,1470,1319
305,460,1648,1397,1476,1325
306,462,1654,1403,1480,1337
307,464,1661,1408,1498,1336
308,466,1668,1410,1486,1340
309,468,1674,1416,1497,1346
310,469,1681,1421,1502,1350
311,472,1686,1425,1507,1354
312,474,1694,1429,1518,1360
313,476,1698,1434,1522,1365
314,478,1705,1439,1524,1371
315,479,1711,1442,1528,1375
316,481,1718,1454,1537,1379
317,483,1725,1452,1542,1385
318,485,1729,1456,1545,1389
319,487,1737,1461,1556,1394
320,489,1741,1465,1557,1399
321,491,1749,1477,1560,1405
322,492,1756,1485,1570,1412
323,495,1763,1493,1585,1417
324,496,1768,1501,1593,1423
325,499,1777,1507,1587,1428
326,501,1784,1510,1596,1434
327,502,1790,1520,1603,1440
328,505,1798,1526,1609,1445
329,506,1804,1534,1609,1451
330,508,1809,1538,1632,1457
331,510,1816,1547,1625,1463
